danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
791,848,-3.456,506,183,0,409,828,95,200480,4
876,519,-6.531,143,202,0,108,158,94.981,175230,4
0.52,761,-3.093,853,256,4.96e-06,0.17,286,141.971,180823,4
737,636,-4.546,437,441,6.66e-05,0.35,565,105.005,222653,4
791,745,-3.695,464,354,2.93e-05,104,0.82,94.014,188560,4
489,598,-4.929,36,218,0,0.35,172,134.045,228373,3
841,798,-4.206,229,153,3.33e-06,618,591,95.948,212500,4
748,749,-5.916,516,142,0,713,659,90.09,221013,4
684,619,-7.005,386,716,0,122,284,125.046,217440,4
589,731,-6.343,868,534,0,308,191,87.908,268867,4
922,581,-7.495,0.27,104,5.86e-05,105,595,140.022,181263,4
687,785,-4.65,333,327,0,203,655,106.046,194408,4
599,448,-6.312,232,163,0,106,168,95.05,263400,3
605,822,-4.833,438,671,134,147,288,167.997,187147,4
739,559,-8.011,117,0.58,0,112,439,140.124,221440,4
699,713,-5.507,594,0.04,3.11e-06,294,354,121.993,205920,4
734,0.57,-7.066,133,847,2.14e-05,112,689,129.953,95467,4
872,391,-9.144,242,469,4.13e-06,297,437,134.021,119133,4
908,621,-6.638,102,282,5.39e-05,958,421,150.011,177000,4
694,0.77,-5.335,149,176,1.1e-05,118,163,125.905,184560,4
586,909,-6.474,705,891,109,119,757,93.394,210747,4
765,523,-4.333,0.03,184,3.56e-05,132,394,104.988,217307,4
258,437,-6.593,39,101,1.27e-06,106,967,180.043,239000,4
0.67,654,-5.944,153,627,1.02e-06,71,438,180.024,227533,4
284,704,-7.276,186,583,115,424,0.1,191.702,234707,4
855,664,-7.11,607,165,3.97e-05,937,626,98.015,226800,4
752,505,-7.621,253,535,2.55e-06,104,419,91.97,197437,4
776,0.78,-4.374,128,622,0,81,666,124.949,204347,4
775,679,-4.985,135,0.18,7.26e-05,68,619,166.008,193456,4
825,652,-3.183,802,581,0,931,931,95.977,233713,4
754,449,-9.211,109,332,8.29e-05,552,357,77.169,198973,4
815,816,-5.474,269,299,0,159,498,181.967,190288,4
791,862,-3.24,0.11,37,2.19e-05,814,592,123.994,214847,4
704,859,-4.877,996,185,0,215,926,105.115,217289,4
912,412,-8.074,124,164,13,104,422,154.983,238614,4
0.71,789,-3.874,722,161,2.77e-06,451,717,142.929,131064,4
835,626,-5.833,125,589,"6,00E-05",396,0.35,91.03,217925,4
884,559,-7.442,0.12,236,0,101,342,97.994,232959,4
511,566,-7.23,0.2,349,0,0.34,218,83.903,239836,4
781,768,-5.991,394,119,4.91e-06,325,486,123.07,213309,4